iter	Passed	Remaining
0	3	1456
1	6	1282
2	9	1193
3	11	1170
4	14	1141
5	17	1120
6	20	1137
7	23	1127
8	25	1107
9	28	1097
10	31	1100
11	34	1107
12	36	1094
13	39	1090
14	42	1083
15	44	1067
16	47	1065
17	50	1065
18	52	1058
19	55	1047
20	58	1049
21	60	1038
22	63	1039
23	66	1038
24	68	1031
25	71	1027
26	74	1034
27	76	1015
28	79	1014
29	82	1014
30	84	1008
31	87	1005
32	90	1002
33	92	995
34	95	992
35	97	986
36	100	981
37	102	974
38	104	967
39	106	961
40	109	958
41	111	954
42	114	949
43	116	944
44	119	944
45	122	941
46	125	940
47	127	937
48	130	932
49	132	928
50	134	923
51	138	927
52	141	926
53	144	924
54	147	923
55	150	924
56	152	919
57	155	914
58	158	915
59	160	912
60	163	907
61	166	907
62	168	903
63	171	898
64	174	898
65	177	896
66	179	892
67	181	888
68	184	883
69	186	879
70	190	882
71	192	878
72	195	876
73	197	871
74	200	866
75	202	863
76	204	859
77	207	857
78	210	854
79	212	850
80	215	848
81	218	847
82	221	846
83	224	844
84	226	840
85	229	837
86	231	833
87	234	830
88	237	828
89	239	825
90	242	822
91	244	820
92	247	817
93	250	813
94	253	814
95	256	811
96	258	807
97	261	804
98	263	801
99	265	797
100	268	794
101	271	791
102	273	789
103	276	785
104	278	782
105	280	778
106	282	774
107	285	772
108	288	769
109	290	765
110	293	763
111	295	760
112	297	756
113	300	754
114	303	751
115	305	748
116	308	745
117	311	743
118	313	740
119	316	737
120	318	734
121	321	732
122	324	730
123	326	726
124	328	723
125	331	720
126	334	718
127	336	715
128	339	712
129	341	709
130	343	705
131	345	702
132	348	700
133	351	697
134	353	694
135	356	691
136	358	688
137	361	685
138	364	684
139	367	681
140	369	678
141	372	676
142	374	673
143	377	670
144	380	669
145	383	667
146	386	665
147	389	662
148	391	659
149	393	656
150	396	654
151	399	651
152	402	648
153	404	646
154	407	643
155	409	640
156	412	638
157	414	635
158	416	631
159	419	629
160	421	625
161	423	622
162	426	619
163	429	617
164	431	614
165	434	612
166	436	609
167	438	606
168	441	603
169	444	601
170	446	598
171	449	595
172	451	592
173	453	589
174	455	586
175	458	583
176	461	580
177	463	578
178	465	575
179	468	572
180	470	569
181	472	566
182	475	564
183	478	561
184	480	558
185	482	555
186	485	552
187	488	550
188	490	547
189	492	544
190	495	542
191	497	539
192	499	536
193	503	534
194	508	534
195	511	531
196	513	529
197	515	526
198	518	524
199	521	521
200	524	519
201	526	516
202	529	513
203	532	511
204	534	508
205	536	505
206	540	503
207	542	500
208	545	498
209	548	495
210	550	493
211	552	490
212	555	487
213	558	485
214	561	483
215	564	480
216	566	477
217	569	475
218	572	473
219	575	470
220	577	468
221	580	465
222	582	462
223	585	460
224	589	458
225	591	455
226	594	452
227	596	449
228	598	447
229	601	444
230	603	441
231	606	439
232	609	436
233	611	433
234	613	430
235	616	428
236	618	425
237	621	422
238	623	419
239	625	417
240	627	414
241	630	411
242	632	408
243	635	406
244	638	403
245	640	400
246	642	398
247	644	395
248	647	392
249	649	389
250	652	387
251	654	384
252	656	381
253	659	378
254	661	376
255	663	373
256	666	370
257	669	368
258	671	365
259	674	363
260	676	360
261	679	357
262	681	354
263	683	352
264	686	349
265	688	346
266	690	344
267	693	341
268	695	338
269	698	336
270	700	333
271	703	330
272	705	328
273	707	325
274	710	322
275	712	320
276	715	317
277	718	315
278	720	312
279	722	309
280	725	307
281	727	304
282	731	302
283	733	299
284	736	297
285	739	294
286	741	292
287	744	289
288	747	287
289	750	284
290	753	282
291	755	279
292	757	276
293	760	274
294	763	271
295	765	269
296	768	266
297	770	263
298	773	261
299	776	258
300	779	256
301	781	253
302	784	251
303	787	248
304	789	245
305	792	243
306	795	240
307	798	238
308	800	235
309	803	233
310	805	230
311	807	227
312	810	225
313	813	222
314	815	220
315	817	217
316	820	214
317	822	212
318	824	209
319	827	206
320	830	204
321	832	201
322	834	198
323	836	196
324	839	193
325	841	191
326	844	188
327	846	185
328	848	183
329	851	180
330	853	177
331	855	175
332	858	172
333	860	170
334	862	167
335	865	164
336	867	162
337	870	159
338	872	157
339	875	154
340	877	151
341	880	149
342	882	146
343	885	144
344	887	141
345	890	139
346	893	136
347	895	133
348	898	131
349	901	128
350	903	126
351	908	123
352	910	121
353	913	118
354	915	116
355	917	113
356	921	110
357	924	108
358	926	105
359	929	103
360	931	100
361	934	98
362	936	95
363	939	92
364	942	90
365	945	87
366	947	85
367	950	82
368	952	80
369	955	77
370	957	74
371	960	72
372	962	69
373	965	67
374	967	64
375	971	62
376	974	59
377	976	56
378	979	54
379	982	51
380	987	49
381	989	46
382	992	44
383	995	41
384	998	38
385	1002	36
386	1004	33
387	1007	31
388	1009	28
389	1012	25
390	1014	23
391	1017	20
392	1019	18
393	1022	15
394	1024	12
395	1027	10
396	1029	7
397	1032	5
398	1035	2
399	1037	0
